title,url,created_date,snippet
ኪነ-ጥበባዊ ዜና,https://www.addisadmassnews.com/index.php?option=com_k2&view=itemlist&layout=category&task=category&id=9&Itemid=227,,ኪነ-ጥበባዊ ዜና
ፖለቲካ በፈገግታ,https://www.addisadmassnews.com/index.php?option=com_k2&view=itemlist&layout=category&task=category&id=20&Itemid=213,,ፖለቲካ በፈገግታ
በስዊዘርላንድ ብሔራዊ ቡድን ላይ  የእባብ ስጋት ትልቅ ማዕበል ፈጥሯል,https://www.addisadmassnews.com/index.php?option=com_k2&view=item&id=34249:በስዊዘርላንድ-ብሔራዊ-ቡድን-ላይ-የእባብ-ስጋት-ትልቅ-ማዕበል-ፈጥሯል&Itemid=101,08 June 2026 በካሊፎርኒያ,በስዊዘርላንድ ብሔራዊ ቡድን ላይ  የእባብ ስጋት ትልቅ ማዕበል ፈጥሯል Created on 08 June 2026 በካሊፎርኒያ ሳን ዲዬጎ በሚገኘው የስዊዘርላንድ ብሔራዊ እግር ኳስ ቡድን የልምምድ ካምፕ አቅራቢያ መርዛማ እባቦች መገኘታቸውን የሚገልጸው ዜና በአውሮፓ ማህበራዊ ሚዲያ ላይ ከፍተኛ ውዝግብና ማዕበል እየፈጠረ ይገኛል። ሁኔታው ፍጹም አስከፊና አስደንጋጭ እንደሆነ እየተገለጸ ነው። እባቦች ወደ ልምምድ ሜዳው እንዳይገ
የኢትዮጵያ አየር መንገድ የሱዳን  መንገደኞች በዶላር እንዲከፍሉ ወሰነ,https://www.addisadmassnews.com/index.php?option=com_k2&view=item&id=34246:የኢትዮጵያ-አየር-መንገድ-የሱዳን-መንገደኞች-በዶላር-እንዲከፍሉ-ወሰነ&Itemid=101,08 June 2026 የኢትዮጵያ ,የኢትዮጵያ አየር መንገድ የሱዳን  መንገደኞች በዶላር እንዲከፍሉ ወሰነ Created on 08 June 2026 የኢትዮጵያ አየር መንገድ በሱዳን ለሚገዙ የአውሮፕላን ትኬቶች ክፍያ በአሜሪካ ዶላር ብቻ እንዲፈጸም ያሳለፈው ውሳኔ በሀገሪቱ ከፍተኛ የምጣኔ ሀብትና የሕግ ክርክር አስነስቷል። አየር መንገዱ በፖርት ሱዳን የሱዳንን ፓውንድ መቀበል ያቆመው በሱዳን የገንዘብ ምንዛሬ አለመረጋጋትና ያገኘውን ገቢ ወደ ዋናው መሥሪያ ቤት
የኤርትራና ግብፅ አዲስ ወታደራዊና  ዲፕሎማሲያዊ  ጥምረት በቀይ ባሕር,https://www.addisadmassnews.com/index.php?option=com_k2&view=item&id=34244:የኤርትራና-ግብፅ-አዲስ-ወታደራዊና-ዲፕሎማሲያዊ-ጥምረት-በቀይ-ባሕር&Itemid=101,08 June 2026 የኤርትራው ,"የኤርትራና ግብፅ አዲስ ወታደራዊና  ዲፕሎማሲያዊ  ጥምረት በቀይ ባሕር Created on 08 June 2026 የኤርትራው ፕሬዚዳንት ኢሳይያስ አፈወርቂ በቀጣናው ከፍተኛ ውጥረት በነገሠበት ወቅት የሦስት ቀናት ይፋዊ የሥራ ጉብኝት ለማድረግ ካይሮ ገብተዋል። ፕሬዚዳንቱ ከግብፁ አቻቸው አብደል ፈታህ ኤል-ሲሲ ጋር በቀይ ባሕር ጸጥታ፣ በአፍሪካ ቀንድ ጂኦፖለቲካና በሁለትዮሽ የኢኮኖሚ ትብብር ዙሪያ ይመክራሉ።


ይህ ጉብኝ"
የመጀመሪያው የውጭ ኢንቨስትመንት    ባንክ ወደ ኢትዮጵያ ገባ,https://www.addisadmassnews.com/index.php?option=com_k2&view=item&id=34242:የመጀመሪያው-የውጭ-ኢንቨስትመንት-ባንክ-ወደ-ኢትዮጵያ-ገባ&Itemid=101,08 June 2026 የኢትዮጵያ ,"የመጀመሪያው የውጭ ኢንቨስትመንት    ባንክ ወደ ኢትዮጵያ ገባ Created on 08 June 2026 የኢትዮጵያ የካፒታል ገበያ ባለሥልጣን ለናይጄሪያው ዩናይትድ ካፒታል ግሩፕ ተቀጥላ ኩባንያ ለሆነው ""ዩናይትድ ካፒታል ፋይናንሻል ሰርቪስ"" ለመጀመሪያ ጊዜ የውጭ ኢንቨስትመንት ባንክ ፈቃድ ሰጥቷል። ተቋሙ በሕግ ከተቀመጠው የ25 ሚሊዮን ብር አነስተኛ ካፒታል በላይ በሆነ መጠን፣ ከ1.5 ሚሊዮን የአሜሪካ ዶላር በላይ"
“ኢትዮጵያ አልተገዛችም፤ ታዲያ ለምን አልበለጸገችም?”,https://www.addisadmassnews.com/index.php?option=com_k2&view=item&id=34240:“ኢትዮጵያ-አልተገዛችም፤-ታዲያ-ለምን-አልበለጸገችም?”&Itemid=101,06 June 2026 ቢሊየነሩ የ,“ኢትዮጵያ አልተገዛችም፤ ታዲያ ለምን አልበለጸገችም?” Created on 06 June 2026 ቢሊየነሩ የስራ ፈጣሪ ኢሎን መስክ አፍሪካ ለገጠማት የድህነት ችግር ተጠያቂው የቅኝ ግዛት ታሪክ ነው የሚለውን የቆየ አመለካከት ውድቅ አድርጓል። መስክ ይህንን አስተያየት የሰጠው ቅዳሜ ዕለት በኤክስ ማህበራዊ ገጽ ላይ የኢትዮጵያንና የቬትናምን የምጣኔ ሀብት ታሪክ በማነፃፀር ለቀረበ ፅሁፍ ምላሽ በሰጠበት ወቅት ነ
ታላቁ የአዲስ አበባ ዩኒቨርሲቲ  የመጽሐፍት ዓውደ ርዕይ...,https://www.addisadmassnews.com/index.php?option=com_k2&view=item&id=34248:ታላቁ-የአዲስ-አበባ-ዩኒቨርሲቲ-የመጽሐፍት-ዓውደ-ርዕይ-ተጀመረ&Itemid=101,,ታላቁ የአዲስ አበባ ዩኒቨርሲቲ  የመጽሐፍት ዓውደ ርዕይ... ታላቅ የዕውቀት እና የባህል መድረክ የሆነው 18ኛው የአዲስ አበባ ዩኒቨርሲቲ የመጽሐፍት ዓውደ ርዕይ ከሰኔ 1
"""U N T O U C H E...",https://www.addisadmassnews.com/index.php?option=com_k2&view=item&id=34247:u-n-t-o-u-c-h-e-d-where-time-slows-down-and-nature-breathes-in-perfect-harmony&Itemid=101,,"""U N T O U C H E..."
ብዙኃኑ ወላጅ በየጓዳው  የተሰቀለበት የፈተና መስቀል!,https://www.addisadmassnews.com/index.php?option=com_k2&view=item&id=34241:ብዙኃኑ-ወላጅ-በየጓዳው-የተሰቀለበት-የፈተና-መስቀል&Itemid=101,,ብዙኃኑ ወላጅ በየጓዳው  የተሰቀለበት የፈተና መስቀል! ብዙ ወላጆች ቀኛቸው የልጅ ፍቅር ፣ግራቸው ልብን የሚያደማ ህመም ላይ የተቸነከረበት ከባድ የፈተና መስቀል፤ ኦቲዝም።
ፊፋ በ2026ቱ የዓለም ዋንጫ የ14 ቢ.   ዶላር ታሪካዊ ገቢ ሊሰበስብ ነው...,https://www.addisadmassnews.com/index.php?option=com_k2&view=item&id=34243:ፊፋ-በ2026ቱ-የዓለም-ዋንጫ-የ14-ቢ-ዶላር-ታሪካዊ-ገቢ-ሊሰበስብ-ነው&Itemid=101,,ስፖርት አድማስ ፊፋ በ2026ቱ የዓለም ዋንጫ የ14 ቢ.   ዶላር ታሪካዊ ገቢ ሊሰበስብ ነው... በአሜሪካ፣ ካናዳና ሜክሲኮ አስተናጋጅነት ከሶስት ቀናት በኋላ በሚጀምረው የ2026ቱ የዓለም ዋንጫ፣ ፊፋ በታሪክ ከፍተኛ የተባለውን የ14 ቢሊዮን ዶላር ገቢ ያገኛል
