author,title,rating,review,date
Eyu Esayas,Unreliable app this is,1,This app crashes all the time and when you try to use it for transaction it says you’re not active or the server is busy or the app just crashes and multiple bugs it’s unreliable truly.,2026-04-08T08:55:17-07:00
Yonal2,The best app!,5,"This is the best mobile app in Ethiopia. However, the recent update took out the option of using Face ID for payment. It now requires to use password. Please improve!",2026-03-28T23:16:05-07:00
Elu Elu,Connectivity,3,"This version doesn’t allow WiFi access to open it. It worked in the previous version, but the option has now been removed from the settings.",2026-03-24T12:35:28-07:00
Yayyo169,SIM detection,2,"This app, whenever once stops allowing me to login, throwing the famous error, please insert the SIM card that is associated with this account. Very frustrating. There are no VPNs, Data roaming or anything if your telecom doesn’t accept. I’m using iPhone 12 Pro Max, everything up-to-date and still I’m having lots of problems with this app. It needs a lot of work.",2026-03-22T22:37:51-07:00
DAGIEthio,Why you guys ask me to enable my Location?,5,This is not right to force someone’s privacy we will report this you should correct your UI .,2026-02-08T23:23:54-07:00
Samix963,Just an opinion,3,The near by fuel station feature is not working.Which is one of the essential features of the app,2026-02-08T00:46:56-07:00
Damee14,Fantastic,5,Telebirr is a transformative success story for financial inclusion in Ethiopia. It is not just an app but a critical national utility that has rapidly digitized payments for millions.,2026-02-01T10:15:05-07:00
Megnoy,Issue,5,My telebirr is not working,2025-11-04T03:24:33-07:00
Sheba ET 251,Bugs,2,"Education payment, Entertainment payment functions are defective. Couldn’t pat with a payment reference number",2025-10-04T06:01:47-07:00
Mrs. Shantell,Needs new design,1,Telebirr needs a total renewal. It’s confusing at first glance; it glitches and the process to send money takes a long time. Also doesn’t read my SIM card. Idk what that’s about.,2025-09-24T06:36:30-07:00
Reviewer on bad apps.,NEEDS A MAJOR REDESIGN!!!,2,"Telebirr has potential, but the experience isn’t smooth. The app feels glitchy, clunky, and often lags when you need it most. Simple actions like sending or receiving money sometimes take longer than they should, and the interface can feel confusing.                                                    
What Telebirr really needs is a cleaner, simpler design something that works great and is easy for everyone, young or old, to use without frustration. If the app focused more on speed, stability, and user-friendliness while including minimality but not over doing it,  it could truly become the go-to mobile wallet in Ethiopia.",2025-09-13T06:07:30-07:00
Tesyolan,Unable to login,1,It keeps saying Unable to login insert the simcard associated with the account. Keeps saying that across multiple retries etc,2025-09-10T07:37:39-07:00
Joephoenix01,Sim Card,2,The says insert the sim card associated with the Tele-birr account even though I’m using same SIM card in my phone. It is so frustrating that ever time I try to log in same issue occur,2025-08-10T02:36:51-07:00
Jesay1,Add Payment and transfer reasons,4,"It’s a good and reliable app, it will be even better if you can add reason of payment, so that we can easily identify why those payments and transfer are done.",2025-07-27T01:31:08-07:00
kibur abiy,Update,4,New update is not working for me.,2025-06-04T20:57:18-07:00
Yser3456,Excellent  app,5,"An excellent app which has a wide range of options for different payments and it is very reliable and stable keep it up make it more stronger and I'm 
 proud of you guys and i expect more advanced features and the other Ethiopian financial institutions must learn from you guys how did you make such an excellent app.",2025-05-28T07:40:26-07:00
Mel lebs,Telebirr,5,It is very nice app. security and speed optimization is amazing,2025-05-24T01:25:07-07:00
dream chaser kiru,poor service,1,very slow on the payments of the government services can rely on it,2025-04-23T23:22:41-07:00
Elias 1234 DZ,Elias,3,"It good , but there is a problem in responds the pushes specifically for payment for fuel in gas stations . I am using I phone 14 pro max",2025-04-21T22:48:37-07:00
wørkiyê w mõyês,Telebirr super app in iPhone 5s not available please re-adjust it,5,Fix more sustainable,2025-03-22T13:14:19-07:00
Mapsteruu,Poor UI/UX,2,"While the app started as a simpler and straightforward app, with its recent attempt to become a superapp, the design has taken a back seat. It is too cluttered and messy. Disappointing that this is coming from a company of this stature.",2025-03-20T23:19:35-07:00
mike12qwer,telebirr,4,its very slow make it a bit faster and give more reward money other than that best app for faince my kids can use it too amazing ethio telecom,2025-02-10T06:49:51-07:00
Teferra,Mr,5,Can’t download any more on iPhone 14 Pro Max,2025-01-23T22:50:03-07:00
beta22.22,credit,1,"it doesn’t work like it does,i can take credit before but now all of the sudden i’m not eligible and i try to contact via 127 but they don’t do nothing please make it work!!!",2024-11-04T03:18:59-07:00
Enoffice,Push Notification Payment doesn’t work on iPhone.,1,Push notification payment is not working in iPhone. It keeps saying wrong pin even I entered the correct one. It makes it difficult to pay on gas station and others payments on iPhone,2024-10-31T12:37:11-07:00
Makaaaad,Not satisfied,2,"They allow money to come in to your phone number but you can’t take out and they told me telebirr account closed because I violated their terms of service.  If you’re visiting Ethiopia don’t use telebirr, bunches of scammers.",2024-09-06T04:05:08-07:00
@mOA,About Apps,1,I have iphone 6plus mobile a want to use your tele birr super up and downloaded but it doesn’t work. Would you please help me,2024-08-26T06:18:31-07:00
@asne,Bug not fixed,1,It does not open in iPhone 6 Plus.,2024-08-20T06:07:59-07:00
Ali Sherief,Crashing,1,"The app keeps crashing on iOS 12.

Cannot even open this app.

It used to open but since updating not anymore.",2024-08-11T02:03:56-07:00
eraziw,telebirr new version isn’t working,5,"My IOS version is 12
I’m updating the new version 
It’s not opening can you fix",2024-07-10T14:52:02-07:00
Natiyemu,iPhone 6,1,Doesn’t work on iPhone 6 after updating this version.,2024-06-13T21:22:08-07:00
Dud32,The best and the worst,3,Even though the finance stuff is great the engage feature is the worst you cannot send anything with it even the pictures do not show after it is sent please please fix it,2024-06-09T21:21:04-07:00
Mohammed 62,Not working on iPhone 6,3,After I updated to the new version the application is refusing to open. Any solution?,2024-05-20T06:29:13-07:00
Arc15Et,Loading lag,5,"In general it is a nice app with much choices! The login process is atrocious I have to restart my phone to login after one service it won’t let me in. The app says connection problem, this problem is not just for me I saw many people struggling with it. Fix that. Overall stunning app!!!!",2024-05-18T02:32:11-07:00
Et.77,This app is useless,1,This app is very useless it's keeps crashing,2024-05-07T03:14:44-07:00
Daguue5,Fake,1,Scammers Game Over,2024-05-06T01:43:29-07:00
fuabach,Scammer,1,Scammer app,2024-05-05T14:34:27-07:00
leuljjjjj,very disappointed,1,i’m very disappointed on this application please i’m warning u do not install the app,2024-05-05T12:13:54-07:00
Davooo432,The new update doesn’t work,1,"I recently updated it on my iPhone 6 Plus and when I open it, it just blinks & shuts down. Please fix this issue",2024-05-04T06:40:09-07:00
